2025-05-18 20:02:12,600 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:02:12,601 |     INFO |                      root | main_window.py:743 | Video processing started successfully
2025-05-18 20:02:13,382 | CRITICAL |                      root | start_debug.py:278 | Unhandled exception:
Traceback (most recent call last):
  File "C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\ui\gui_app.py", line 460, in on_processing_error
    @pyqtSlot(str)
    
KeyboardInterrupt
2025-05-18 20:07:23,789 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:07:23,790 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.39 seconds
2025-05-18 20:07:23,791 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:07:23,791 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:07:23,794 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:07:24,779 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:07:24,780 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:07:24,802 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:07:24,805 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:07:24,812 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:07:24,812 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:07:24,813 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:07:24,858 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:07:24,859 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:07:24,860 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:07:24,860 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:07:31,151 |     INFO |      utils.preset_manager | preset_manager.py:166 | Loaded preset from C:/Users/Hasbi Ash Shiddiqi/PycharmProjects/NanoDet/vehicle_counter/config/presets/gasibu.json
2025-05-18 20:07:34,043 |     INFO |                      root | main_window.py:827 | Starting video processing directly
2025-05-18 20:07:34,051 |     INFO |          core.roi_manager | roi_manager.py:54 | ROI Manager initialized
2025-05-18 20:07:42,424 |     INFO |              core.counter | counter.py:42 | Vehicle counter initialized
2025-05-18 20:07:42,426 |     INFO |                      root | main_window.py:835 | VehicleCounterGUI instance created
2025-05-18 20:07:42,473 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:07:42,474 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:07:43,532 | CRITICAL |                      root | start_debug.py:278 | Unhandled exception:
Traceback (most recent call last):
  File "C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\ui\gui_app.py", line 460, in on_processing_error
    @pyqtSlot(str)
    
KeyboardInterrupt
2025-05-18 20:13:00,024 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:13:00,024 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.29 seconds
2025-05-18 20:13:00,025 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:13:00,025 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:13:00,028 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:13:00,907 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:13:00,907 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:13:00,930 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:13:00,932 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:13:00,939 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:13:00,940 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:13:00,940 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:13:00,984 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:13:00,985 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:13:00,987 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:13:00,988 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:13:16,722 |     INFO |                      root | start_debug.py:448 | Application exiting with code: 0
2025-05-18 20:13:58,729 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:13:58,730 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.47 seconds
2025-05-18 20:13:58,731 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:13:58,731 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:13:58,735 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:13:59,862 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:13:59,862 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:13:59,885 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:13:59,887 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:13:59,897 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:13:59,897 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:13:59,898 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:13:59,944 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:13:59,945 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:13:59,946 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:13:59,946 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:14:03,087 |     INFO |      utils.preset_manager | preset_manager.py:166 | Loaded preset from C:/Users/Hasbi Ash Shiddiqi/PycharmProjects/NanoDet/vehicle_counter/config/presets/gasibu.json
2025-05-18 20:14:05,396 |     INFO |                      root | main_window.py:827 | Starting video processing directly
2025-05-18 20:14:05,416 |     INFO |          core.roi_manager | roi_manager.py:54 | ROI Manager initialized
2025-05-18 20:14:12,822 |     INFO |              core.counter | counter.py:42 | Vehicle counter initialized
2025-05-18 20:14:12,823 |     INFO |                      root | main_window.py:835 | VehicleCounterGUI instance created
2025-05-18 20:14:12,850 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:14:12,851 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:15:37,158 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:15:37,159 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.36 seconds
2025-05-18 20:15:37,160 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:15:37,160 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:15:37,163 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:15:40,426 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:15:40,427 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:15:40,459 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:15:40,461 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:15:40,482 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:15:40,482 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:15:40,483 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:15:40,529 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:15:40,530 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:15:40,531 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:15:40,532 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:15:45,061 |     INFO |      utils.preset_manager | preset_manager.py:166 | Loaded preset from C:/Users/Hasbi Ash Shiddiqi/PycharmProjects/NanoDet/vehicle_counter/config/presets/gasibu.json
2025-05-18 20:15:47,941 |     INFO |                      root | main_window.py:827 | Starting video processing directly
2025-05-18 20:15:47,949 |     INFO |          core.roi_manager | roi_manager.py:54 | ROI Manager initialized
2025-05-18 20:15:55,160 |     INFO |              core.counter | counter.py:42 | Vehicle counter initialized
